harvest_age_hrs,crop_type,distance_km,ambient_temp_c,humidity_pct,rainfall_48h_mm,travel_time_hrs,region,season_month,farmer_experience,bin_quality,vehicle_type,risk_score,risk_label
2035.86,potato,3.58,32.11,40.0,21.05,0.5,maharashtra_1,4,novice,good,refrigerated,55.92,RISKY
1296.0,onion,4.25,25.28,62.11,4.61,0.5,maharashtra_1,9,moderate,poor,covered,73.86,CRITICAL
516.24,onion,2.24,29.99,51.27,2.82,0.5,maharashtra_1,1,expert,poor,open,67.17,RISKY
262.83,onion,24.38,30.22,55.21,4.36,0.55,maharashtra_1,2,moderate,fair,covered,45.38,RISKY
61.09,tomato,67.01,30.46,50.24,33.8,2.99,maharashtra_2,8,expert,good,covered,88.63,CRITICAL
37.8,eggplant,3.5,29.67,50.36,2.68,0.5,maharashtra_3,2,moderate,good,covered,37.34,RISKY
86.4,leafy_greens,2.39,23.7,66.81,7.14,0.62,maharashtra_3,1,novice,fair,covered,91.44,CRITICAL
21.1,leafy_greens,11.15,26.76,57.74,1.18,0.5,maharashtra_1,3,expert,fair,covered,54.91,RISKY
1445.71,potato,5.77,25.41,67.05,1.17,0.5,maharashtra_3,4,moderate,good,open,48.96,RISKY
8.79,tomato,58.33,24.9,69.89,20.12,2.5,maharashtra_3,4,moderate,fair,covered,71.36,CRITICAL
430.74,onion,9.63,32.2,50.95,14.19,0.66,maharashtra_1,7,moderate,good,open,57.9,RISKY
206.03,onion,9.6,31.75,50.09,3.99,0.5,maharashtra_1,5,moderate,fair,open,38.24,RISKY
24.61,leafy_greens,36.6,31.18,44.27,3.88,1.51,maharashtra_2,4,expert,good,covered,67.22,RISKY
38.11,leafy_greens,18.34,33.6,46.58,0.76,0.5,maharashtra_1,4,moderate,good,covered,86.01,CRITICAL
50.44,leafy_greens,6.32,37.18,40.0,7.1,0.5,maharashtra_1,5,moderate,fair,covered,100.0,CRITICAL
642.05,onion,2.67,31.95,50.09,43.0,0.5,maharashtra_2,11,moderate,good,open,64.95,RISKY
211.45,onion,43.27,24.72,74.0,19.09,2.61,maharashtra_3,9,expert,poor,covered,46.16,RISKY
48.01,leafy_greens,10.17,34.63,40.0,0.1,0.5,maharashtra_2,10,novice,fair,open,100.0,CRITICAL
321.21,onion,13.73,28.25,63.69,0.76,0.5,maharashtra_1,5,expert,fair,open,52.87,RISKY
35.29,leafy_greens,13.37,34.43,44.87,11.17,0.5,maharashtra_1,4,expert,fair,open,80.72,CRITICAL
69.33,tomato,4.85,28.16,58.13,3.76,0.5,maharashtra_3,12,moderate,fair,refrigerated,63.21,RISKY
86.4,leafy_greens,4.59,26.98,59.98,1.98,0.5,maharashtra_1,10,moderate,fair,covered,91.76,CRITICAL
28.92,leafy_greens,12.49,30.14,56.61,1.46,0.77,maharashtra_2,9,moderate,poor,covered,93.6,CRITICAL
51.38,leafy_greens,27.78,31.41,53.0,0.69,0.5,maharashtra_1,6,moderate,poor,covered,100.0,CRITICAL
29.25,tomato,19.9,30.55,57.85,4.88,0.65,maharashtra_1,8,novice,poor,covered,76.17,CRITICAL
154.18,onion,10.41,28.06,64.88,46.57,1.07,maharashtra_3,4,moderate,good,open,47.2,RISKY
1558.64,potato,12.19,28.8,64.21,58.45,1.56,maharashtra_1,8,expert,poor,refrigerated,58.95,RISKY
64.67,tomato,3.6,26.61,62.63,34.5,0.5,maharashtra_3,8,novice,good,open,97.06,CRITICAL
1657.85,potato,20.47,30.48,41.87,0.86,0.5,maharashtra_1,11,moderate,fair,open,75.13,CRITICAL
